timestamp,beats per minute,data source
2025-12-01T16:04:48Z,101.0,Inspire 3
2025-12-01T16:04:51Z,101.0,Inspire 3
2025-12-01T16:04:52Z,100.0,Inspire 3
2025-12-01T16:04:54Z,103.0,Inspire 3
2025-12-01T16:04:56Z,101.0,Inspire 3
2025-12-01T16:04:58Z,99.0,Inspire 3
2025-12-01T16:05:00Z,101.0,Inspire 3
2025-12-01T16:05:02Z,100.0,Inspire 3
2025-12-01T16:05:04Z,98.0,Inspire 3
2025-12-01T16:05:07Z,100.0,Inspire 3
2025-12-01T16:05:09Z,101.0,Inspire 3
2025-12-01T16:05:12Z,101.0,Inspire 3
2025-12-01T16:05:13Z,99.0,Inspire 3
2025-12-01T16:05:15Z,100.0,Inspire 3
2025-12-01T16:05:17Z,102.0,Inspire 3
2025-12-01T16:05:19Z,101.0,Inspire 3
2025-12-01T16:05:22Z,101.0,Inspire 3
2025-12-01T16:05:23Z,102.0,Inspire 3
2025-12-01T16:05:25Z,103.0,Inspire 3
2025-12-01T16:05:27Z,102.0,Inspire 3
2025-12-01T16:05:29Z,100.0,Inspire 3
2025-12-01T16:05:30Z,99.0,Inspire 3
2025-12-01T16:05:33Z,99.0,Inspire 3
2025-12-01T16:05:34Z,98.0,Inspire 3
2025-12-01T16:05:36Z,100.0,Inspire 3
2025-12-01T16:05:39Z,100.0,Inspire 3
2025-12-01T16:05:40Z,98.0,Inspire 3
2025-12-01T16:05:42Z,101.0,Inspire 3
2025-12-01T16:05:44Z,100.0,Inspire 3
2025-12-01T16:05:46Z,97.0,Inspire 3
2025-12-01T16:05:48Z,97.0,Inspire 3
2025-12-01T16:05:50Z,94.0,Inspire 3
2025-12-01T16:05:52Z,91.0,Inspire 3
2025-12-01T16:05:53Z,95.0,Inspire 3
2025-12-01T16:05:56Z,95.0,Inspire 3
2025-12-01T16:05:57Z,97.0,Inspire 3
2025-12-01T16:06:00Z,97.0,Inspire 3
2025-12-01T16:06:01Z,95.0,Inspire 3
2025-12-01T16:06:03Z,99.0,Inspire 3
2025-12-01T16:06:06Z,99.0,Inspire 3
2025-12-01T16:06:07Z,100.0,Inspire 3
